Name	Description	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
32804	ENSG00000095139.9	ARCN1	83.6806
34408	ENSG00000170627.5	GTSF1	83.3428
3217	ENSG00000143612.14	C1orf43	83.2104
54219	ENSG00000237311.1	RP6-159A1.3	83.1787
1089	ENSG00000116560.6	SFPQ	83.0564
4302	ENSG00000182004.8	SNRPE	83.0382
13377	ENSG00000118816.5	CCNI	82.9627
15345	ENSG00000145592.9	RPL37	82.7623
31805	ENSG00000172531.10	PPP1CA	82.6333
6461	ENSG00000115307.12	AUP1	82.5776
674	ENSG00000070831.11	CDC42	82.5406
16809	ENSG00000113141.11	IK	82.5273
64	ENSG00000188976.6	NOC2L	82.3354
50442	ENSG00000227063.4	RPL41P1	82.2033
22082	ENSG00000106244.8	PDAP1	82.1475
893	ENSG00000117748.5	RPA2	81.8953
48879	ENSG00000104823.4	ECH1	81.6799
6251	ENSG00000138069.12	RAB1A	81.579
31716	ENSG00000172757.8	CFL1	81.5547
51918	ENSG00000160201.7	U2AF1	81.3083
45487	ENSG00000136450.8	SRSF1	81.2408
18073	ENSG00000124635.7	HIST1H2BJ	81.184
52233	ENSG00000128185.5	DGCR6L	81.0132
9981	ENSG00000010256.6	UQCRC1	80.9215
23864	ENSG00000133872.9	TMEM66	80.8892
1452	ENSG00000162368.9	CMPK1	80.7324
51716	ENSG00000159131.12	GART	80.6615
34575	ENSG00000135506.11	OS9	80.5965
47721	ENSG00000076944.10	STXBP2	80.4429
35684	ENSG00000182196.9	ARL6IP4	80.3661
44435	ENSG00000132589.11	FLOT2	80.2721
29661	ENSG00000148834.8	GSTO1	80.0999
47992	ENSG00000123144.6	C19orf43	80.0451
22169	ENSG00000172354.5	GNB2	80.0178
12279	ENSG00000169020.5	ATP5I	79.7946
55545	ENSG00000184216.7	IRAK1	79.7136
2032	ENSG00000174021.6	GNG5	79.6614
5459	ENSG00000079785.10	DDX1	79.3911
41864	ENSG00000170540.10	ARL6IP1	79.3554
13940	ENSG00000145386.5	CCNA2	79.3284
48071	ENSG00000123143.8	PKN1	79.2765
22267	ENSG00000161057.6	PSMC2	79.2013
20718	ENSG00000136261.10	BZW2	79.0929
44979	ENSG00000131473.12	ACLY	79.0853
22464	ENSG00000106034.13	CPED1	79.0571
53550	ENSG00000130066.12	SAT1	79.0548
27494	ENSG00000167110.12	GOLGA2	78.9531
46004	ENSG00000161547.10	SRSF2	78.9119
51544	ENSG00000154723.8	ATP5J	78.8627
27866	ENSG00000067064.6	IDI1	78.7887
47912	ENSG00000130175.5	PRKCSH	78.7546
39803	ENSG00000140319.6	SRP14	78.75
20864	ENSG00000122565.14	CBX3	78.6466
18938	ENSG00000012660.9	ELOVL5	78.5398
11441	ENSG00000144895.7	EIF2A	78.5036
1394	ENSG00000132780.12	NASP	78.5001
3010	ENSG00000143382.9	ADAMTSL4	78.4627
6898	ENSG00000168754.9	FAM178B	78.431
14585	ENSG00000129128.8	SPCS3	78.4061
50726	ENSG00000260032.1	LINC00657	78.3762
13883	ENSG00000269893.2	SNHG8	78.1759
17442	ENSG00000169223.10	LMAN2	78.1665
3213	ENSG00000143549.15	TPM3	78.1433
40685	ENSG00000140374.11	ETFA	78.091
43755	ENSG00000072778.15	ACADVL	78.0852
11080	ENSG00000181789.10	COPG1	77.908
22119	ENSG00000168090.5	COPS6	77.7002
20271	ENSG00000092820.13	EZR	77.5916
9256	ENSG00000134108.8	ARL8B	77.4215
117	ENSG00000160075.10	SSU72	77.3845
22335	ENSG00000091140.8	DLD	77.3346
6351	ENSG00000143977.9	SNRPG	77.3301
49278	ENSG00000042753.7	AP2S1	76.961
29505	ENSG00000120053.9	GOT1	76.7067
21346	ENSG00000129103.13	SUMF2	76.495
45374	ENSG00000108829.9	LRRC59	76.4768
27728	ENSG00000130560.4	UBAC1	76.4352
46618	ENSG00000167088.6	SNRPD1	76.3804
23987	ENSG00000129691.11	ASH2L	76.2895
22083	ENSG00000106245.5	BUD31	76.1494
41999	ENSG00000166501.8	PRKCB	75.9043
29055	ENSG00000035403.12	VCL	75.8429
47441	ENSG00000071626.12	DAZAP1	75.5156
13064	ENSG00000174780.11	SRP72	75.4302
34349	ENSG00000205352.6	PRR13	75.2717
42192	ENSG00000179918.15	SEPHS2	75.211
31500	ENSG00000168496.3	FEN1	75.1099
43422	ENSG00000103335.15	PIEZO1	75.002
44405	ENSG00000109107.9	ALDOC	74.7681
44995	ENSG00000173757.5	STAT5B	74.7424
7447	ENSG00000152082.9	MZT2B	74.4072
17479	ENSG00000145912.4	NHP2	74.3429
48022	ENSG00000104903.4	LYL1	74.3132
6603	ENSG00000168894.5	RNF181	74.2387
45544	ENSG00000141367.7	CLTC	74.1445
30160	ENSG00000117984.8	CTSD	74.0617
17641	ENSG00000124588.15	NQO2	73.9299
17753	ENSG00000124802.7	EEF1E1	73.7673
48262	ENSG00000130520.6	LSM4	73.7272
10007	ENSG00000172053.10	QARS	73.6772
23811	ENSG00000168078.5	PBK	73.6022
5676	ENSG00000115241.9	PPM1G	73.5678
33322	ENSG00000111642.10	CHD4	73.3987
48871	ENSG00000130402.7	ACTN4	73.3081
5653	ENSG00000228474.1	OST4	73.1999
21605	ENSG00000126524.5	SBDS	73.1711
16598	ENSG00000164405.6	UQCRQ	73.0559
18750	ENSG00000124702.13	KLHDC3	73.0533
30074	ENSG00000185627.13	PSMD13	72.9625
47863	ENSG00000105401.2	CDC37	72.9113
37471	ENSG00000100836.6	PABPN1	72.9088
20665	ENSG00000189043.5	NDUFA4	72.8912
15687	ENSG00000134057.10	CCNB1	72.8172
51997	ENSG00000183255.7	PTTG1IP	72.7582
40749	ENSG00000185787.10	MORF4L1	72.7525
7998	ENSG00000128708.8	HAT1	72.7262
906	ENSG00000126698.6	DNAJC8	72.6871
26091	ENSG00000165280.11	VCP	72.6597
8348	ENSG00000115541.6	HSPE1	72.6308
25122	ENSG00000147677.6	EIF3H	72.6033
25251	ENSG00000104549.7	SQLE	72.5884
31463	ENSG00000110107.4	PRPF19	72.552
8669	ENSG00000079246.11	XRCC5	72.5253
31626	ENSG00000173113.2	TRMT112	72.4388
1628	ENSG00000116221.11	MRPL37	72.4066
24170	ENSG00000104738.12	MCM4	72.3581
18441	ENSG00000204308.6	RNF5	72.3346
31660	ENSG00000213465.3	ARL2	72.2956
29899	ENSG00000154473.13	BUB3	72.2491
45670	ENSG00000087191.8	PSMC5	72.1418
39867	ENSG00000137804.8	NUSAP1	71.9853
7962	ENSG00000138385.11	SSB	71.9534
18404	ENSG00000204394.8	VARS	71.8554
10222	ENSG00000168374.6	ARF4	71.7628
87	ENSG00000078808.12	SDF4	71.5338
26766	ENSG00000135047.10	CTSL	71.4679
22387	ENSG00000214194.4	LINC00998	71.2071
47422	ENSG00000099817.7	POLR2E	71.1695
27930	ENSG00000173848.14	NET1	70.8826
44683	ENSG00000006125.12	AP2B1	70.8305
52884	ENSG00000128340.10	RAC2	70.8173
48984	ENSG00000077312.4	SNRPA	70.7667
29012	ENSG00000182180.9	MRPS16	70.5955
1103	ENSG00000126067.7	PSMB2	70.5882
28366	ENSG00000150093.14	ITGB1	70.423
48948	ENSG00000013275.3	PSMC4	70.3737
38030	ENSG00000100567.8	PSMA3	70.3574
41023	ENSG00000182054.5	IDH2	70.3042
41911	ENSG00000005187.7	ACSM3	70.2702
37862	ENSG00000265150.1	RN7SL2	70.1497
6877	ENSG00000084090.9	STARD7	70.1368
31734	ENSG00000087365.10	SF3B2	70.1226
26095	ENSG00000165283.11	STOML2	70.081
43709	ENSG00000108561.4	C1QBP	70.0187
8090	ENSG00000128654.9	MTX2	69.9944
23723	ENSG00000120889.8	TNFRSF10B	69.9847
16512	ENSG00000113368.7	LMNB1	69.9721
38209	ENSG00000081181.3	ARG2	69.9608
52266	ENSG00000099917.13	MED15	69.897
18749	ENSG00000124733.3	MEA1	69.7904
31730	ENSG00000175334.3	BANF1	69.6903
17201	ENSG00000164611.8	PTTG1	69.6536
11944	ENSG00000175166.12	PSMD2	69.611
30618	ENSG00000110696.5	C11orf58	69.5078
22595	ENSG00000064419.9	TNPO3	69.4971
11264	ENSG00000184432.5	COPB2	69.4627
37750	ENSG00000100941.4	PNN	69.3741
53468	ENSG00000102054.13	RBBP7	69.2006
695	ENSG00000004487.11	KDM1A	69.1715
25124	ENSG00000164754.8	RAD21	69.1235
46164	ENSG00000262814.2	MRPL12	69.092
41482	ENSG00000167978.12	SRRM2	68.9784
50860	ENSG00000101057.11	MYBL2	68.9479
12169	ENSG00000072274.8	TFRC	68.8897
52335	ENSG00000100030.10	MAPK1	68.8004
47488	ENSG00000104897.5	SF3A2	68.7713
20293	ENSG00000120437.7	ACAT2	68.7306
3247	ENSG00000173207.8	CKS1B	68.689
29019	ENSG00000138279.11	ANXA7	68.6813
6209	ENSG00000014641.13	MDH1	68.5423
17517	ENSG00000169045.13	HNRNPH1	68.5257
44290	ENSG00000263563.1	UBBP4	68.5047
49436	ENSG00000126453.5	BCL2L12	68.4421
55603	ENSG00000155959.6	VBP1	68.348
48000	ENSG00000104889.4	RNASEH2A	68.2902
20117	ENSG00000120265.12	PCMT1	68.2152
50894	ENSG00000166913.8	YWHAB	68.2113
31608	ENSG00000168439.12	STIP1	67.9875
53053	ENSG00000198911.7	SREBF2	67.9563
42165	ENSG00000149923.9	PPP4C	67.9126
54793	ENSG00000101843.14	PSMD10	67.7687
3842	ENSG00000116161.13	CACYBP	67.7637
20950	ENSG00000006625.13	GGCT	67.6956
18042	ENSG00000158406.2	HIST1H4H	67.6467
48155	ENSG00000167460.10	TPM4	67.6329
14792	ENSG00000073578.12	SDHA	67.5935
53862	ENSG00000126756.7	UXT	67.5486
31331	ENSG00000213593.5	TMX2	67.4876
20580	ENSG00000086232.8	EIF2AK1	67.4868
22255	ENSG00000230257.1	NFE4	67.4728
52644	ENSG00000100219.12	XBP1	67.4599
845	ENSG00000090273.9	NUDC	67.417
22315	ENSG00000005249.8	PRKAR2B	67.3291
31501	ENSG00000149485.12	FADS1	67.3049
6620	ENSG00000132305.16	IMMT	67.2967
11052	ENSG00000163902.7	RPN1	67.2659
32660	ENSG00000204370.4	SDHD	67.2607
52217	ENSG00000093010.7	COMT	67.1773
35545	ENSG00000089220.4	PEBP1	67.1692
15817	ENSG00000164346.5	NSA2	67.1233
38978	ENSG00000166165.8	CKB	67.0304
27490	ENSG00000148337.15	CIZ1	66.9256
1875	ENSG00000116761.7	CTH	66.8258
5983	ENSG00000180398.7	MCFD2	66.8188
50647	ENSG00000125970.7	RALY	66.7752
1833	ENSG00000142864.10	SERBP1	66.7693
41465	ENSG00000185883.6	ATP6V0C	66.6684
4271	ENSG00000159346.8	ADIPOR1	66.6421
55525	ENSG00000185825.11	BCAP31	66.6346
51947	ENSG00000160221.12	C21orf33	66.5954
27394	ENSG00000136930.8	PSMB7	66.5117
871	ENSG00000158195.6	WASF2	66.4679
32166	ENSG00000151366.8	NDUFC2	66.4385
32839	ENSG00000188486.3	H2AFX	66.4216
28999	ENSG00000122884.8	P4HA1	66.3738
50680	ENSG00000100991.7	TRPC4AP	66.3665
3039	ENSG00000197622.8	CDC42SE1	66.3562
11309	ENSG00000069849.6	ATP1B3	66.2532
48698	ENSG00000089327.10	FXYD5	66.1412
51957	ENSG00000141959.12	PFKL	66.0438
49834	ENSG00000105048.12	TNNT1	66.0068
35406	ENSG00000186298.7	PPP1CC	65.863
1232	ENSG00000084070.7	SMAP2	65.7541
51018	ENSG00000124207.12	CSE1L	65.6662
18621	ENSG00000137409.14	MTCH1	65.477
18056	ENSG00000182952.4	HMGN4	65.4209
31744	ENSG00000174903.10	RAB1B	65.3985
17440	ENSG00000169230.5	PRELID1	65.1252
13634	ENSG00000197894.6	ADH5	65.0925
3299	ENSG00000132676.11	DAP3	65.0269
758	ENSG00000169504.10	CLIC4	64.9958
1200	ENSG00000090621.9	PABPC4	64.7757
44998	ENSG00000126561.12	STAT5A	64.7553
45255	ENSG00000082641.11	NFE2L1	64.7292
30596	ENSG00000129083.8	COPB1	64.6767
39982	ENSG00000104131.8	EIF3J	64.6089
6431	ENSG00000163170.7	BOLA3	64.5986
43837	ENSG00000178999.8	AURKB	64.5479
54971	ENSG00000131721.4	RHOXF2	64.5474
18779	ENSG00000124571.13	XPO5	64.491
23990	ENSG00000147465.7	STAR	64.4563
31643	ENSG00000168066.16	SF1	64.4262
54937	ENSG00000101856.8	PGRMC1	64.2885
6881	ENSG00000144028.10	SNRNP200	64.1815
42788	ENSG00000125166.8	GOT2	64.1813
23114	ENSG00000164897.8	TMUB1	64.154
7601	ENSG00000115866.6	DARS	64.1052
47093	ENSG00000074695.5	LMAN1	63.9884
46172	ENSG00000183684.6	ALYREF	63.9683
37213	ENSG00000100823.7	APEX1	63.9253
48077	ENSG00000099797.7	TECR	63.9168
4690	ENSG00000143815.10	LBR	63.8866
33729	ENSG00000111726.8	CMAS	63.8809
36177	ENSG00000189403.10	HMGB1	63.8777
10082	ENSG00000114737.11	CISH	63.8153
34526	ENSG00000198056.9	PRIM1	63.8044
40262	ENSG00000157456.3	CCNB2	63.7775
46170	ENSG00000141522.7	ARHGDIA	63.6868
47745	ENSG00000104980.3	TIMM44	63.6359
54784	ENSG00000147224.6	PRPS1	63.6142
47429	ENSG00000099624.3	ATP5D	63.6135
42695	ENSG00000167005.9	NUDT21	63.5076
50098	ENSG00000088832.10	FKBP1A	63.4462
49333	ENSG00000142227.6	EMP3	63.4301
48859	ENSG00000099341.7	PSMD8	63.3992
16858	ENSG00000178913.5	TAF7	63.3834
33817	ENSG00000061794.8	MRPS35	63.3597
43428	ENSG00000167513.4	CDT1	63.3347
636	ENSG00000127483.13	HP1BP3	63.3028
10149	ENSG00000114902.9	SPCS1	63.207
50703	ENSG00000125991.14	ERGIC3	63.1519
22408	ENSG00000135269.13	TES	63.1273
48028	ENSG00000160888.6	IER2	63.1168
45954	ENSG00000092929.7	UNC13D	62.9549
11602	ENSG00000113810.11	SMC4	62.868
18608	ENSG00000112081.12	SRSF3	62.8159
51319	ENSG00000101150.13	TPD52L2	62.774
21950	ENSG00000001630.11	CYP51A1	62.7712
32092	ENSG00000149257.9	SERPINH1	62.7165
29638	ENSG00000173915.8	USMG5	62.6393
55557	ENSG00000102119.6	EMD	62.6319
7963	ENSG00000138382.9	METTL5	62.604
3360	ENSG00000143321.14	HDGF	62.4903
25288	ENSG00000136997.10	MYC	62.2721
16742	ENSG00000044115.16	CTNNA1	62.114
46193	ENSG00000169710.6	FASN	62.0284
29043	ENSG00000176986.10	SEC24C	62.0229
34465	ENSG00000205323.4	SARNP	61.9296
34591	ENSG00000175215.5	CTDSP2	61.8915
22586	ENSG00000128591.11	FLNC	61.8751
50691	ENSG00000242372.2	EIF6	61.8329
30080	ENSG00000185201.12	IFITM2	61.7479
53714	ENSG00000165175.11	MID1IP1	61.7102
22081	ENSG00000130429.8	ARPC1B	61.6955
41408	ENSG00000140990.10	NDUFB10	61.675
40363	ENSG00000166803.6	KIAA0101	61.5679
19764	ENSG00000111906.13	HDDC2	61.5411
2449	ENSG00000168710.13	AHCYL1	61.5252
47495	ENSG00000130332.10	LSM7	61.4126
43128	ENSG00000103035.6	PSMD7	61.2208
11440	ENSG00000120742.6	SERP1	61.1974
39955	ENSG00000140264.15	SERF2	61.1877
7599	ENSG00000076003.4	MCM6	61.0566
35548	ENSG00000240342.2	RPS2P5	61.0236
43004	ENSG00000141101.8	NOB1	61.0023
11988	ENSG00000090520.6	DNAJB11	60.9969
9532	ENSG00000170142.7	UBE2E1	60.9624
1312	ENSG00000117399.9	CDC20	60.8529
104	ENSG00000221978.7	CCNL2	60.8451
50572	ENSG00000171552.8	BCL2L1	60.8226
18435	ENSG00000213676.6	ATF6B	60.7956
18788	ENSG00000096080.7	MRPS18A	60.7281
48270	ENSG00000105655.14	ISYNA1	60.7173
33336	ENSG00000159335.11	PTMS	60.6939
45955	ENSG00000132471.7	WBP2	60.6459
22685	ENSG00000106554.7	CHCHD3	60.4264
17639	ENSG00000124570.13	SERPINB6	60.3947
30842	ENSG00000149100.8	EIF3M	60.3669
43417	ENSG00000167508.6	MVD	60.3491
41446	ENSG00000167969.8	ECI1	60.3106
5621	ENSG00000084733.6	RAB10	60.2318
45116	ENSG00000013306.11	SLC25A39	60.1522
7932	ENSG00000235335.2	AC016723.4	60.1266
5238	ENSG00000143727.11	ACP1	59.9566
48070	ENSG00000123136.10	DDX39A	59.9267
23036	ENSG00000106462.6	EZH2	59.8173
53526	ENSG00000102172.11	SMS	59.778
11945	ENSG00000114867.15	EIF4G1	59.6729
5388	ENSG00000171848.9	RRM2	59.5983
21562	ENSG00000169919.12	GUSB	59.4752
555	ENSG00000117118.5	SDHB	59.4596
42782	ENSG00000125107.12	CNOT1	59.4564
35698	ENSG00000183955.8	SETD8	59.4245
12934	ENSG00000109180.10	OCIAD1	59.3094
13339	ENSG00000138768.10	USO1	59.234
344	ENSG00000120948.11	TARDBP	59.1497
23632	ENSG00000104763.13	ASAH1	59.1466
23131	ENSG00000106615.5	RHEB	59.0601
27222	ENSG00000136868.9	SLC31A1	58.9296
32023	ENSG00000175582.15	RAB6A	58.9209
41721	ENSG00000171490.8	RSL1D1	58.8641
24242	ENSG00000120992.13	LYPLA1	58.8586
54141	ENSG00000158639.7	PAGE5	58.8436
5937	ENSG00000138095.14	LRPPRC	58.8038
9312	ENSG00000171148.9	TADA3	58.7986
18258	ENSG00000066379.10	ZNRD1	58.7948
12007	ENSG00000163918.6	RFC4	58.7634
2573	ENSG00000116752.5	BCAS2	58.6556
18478	ENSG00000204256.8	BRD2	58.5496
7526	ENSG00000173272.9	MZT2A	58.5067
47438	ENSG00000115286.15	NDUFS7	58.4459
35677	ENSG00000139726.6	DENR	58.3274
45406	ENSG00000239672.3	NME1	58.3204
42875	ENSG00000166595.7	FAM96B	58.2782
3584	ENSG00000117143.9	UAP1	58.2742
42992	ENSG00000132612.14	VPS4A	58.2091
16736	ENSG00000120705.8	ETF1	58.2031
7264	ENSG00000115091.7	ACTR3	58.1983
2541	ENSG00000155380.7	SLC16A1	58.1597
1332	ENSG00000117410.9	ATP6V0B	58.0823
28030	ENSG00000151465.9	CDC123	58.0488
34493	ENSG00000092841.14	MYL6	57.9919
33019	ENSG00000134910.8	STT3A	57.9917
35350	ENSG00000110880.6	CORO1C	57.9458
32713	ENSG00000076043.5	REXO2	57.8893
28980	ENSG00000166295.4	ANAPC16	57.6596
723	ENSG00000057757.5	PITHD1	57.5804
52551	ENSG00000100028.7	SNRPD3	57.5647
15814	ENSG00000049860.9	HEXB	57.5116
48729	ENSG00000126254.7	RBM42	57.4708
42721	ENSG00000051108.10	HERPUD1	57.3808
31914	ENSG00000085733.11	CTTN	57.3646
30206	ENSG00000205531.8	NAP1L4	57.3591
44999	ENSG00000168610.10	STAT3	57.2288
53914	ENSG00000102317.13	RBM3	57.1506
43668	ENSG00000142507.5	PSMB6	56.989
31431	ENSG00000166902.4	MRPL16	56.9608
52286	ENSG00000184436.7	THAP7	56.9027
30257	ENSG00000167325.10	RRM1	56.8851
37454	ENSG00000100804.14	PSMB5	56.8612
48289	ENSG00000105669.8	COPE	56.7385
40076	ENSG00000255302.3	EID1	56.7176
43383	ENSG00000140941.8	MAP1LC3B	56.6042
49416	ENSG00000104872.6	PIH1D1	56.3248
55168	ENSG00000165704.10	HPRT1	56.2527
31725	ENSG00000175550.3	DRAP1	56.1944
1167	ENSG00000183431.7	SF3A3	56.149
4003	ENSG00000162704.11	ARPC5	56.1037
19724	ENSG00000111885.5	MAN1A1	56.0593
49876	ENSG00000063244.8	U2AF2	56.0213
44407	ENSG00000076382.12	SPAG5	55.9572
27331	ENSG00000119421.5	NDUFA8	55.9401
383	ENSG00000116691.6	MIIP	55.8005
49191	ENSG00000007255.6	TRAPPC6A	55.7769
41994	ENSG00000166851.10	PLK1	55.7765
41387	ENSG00000206053.8	HN1L	55.7076
48005	ENSG00000105612.4	DNASE2	55.706
9171	ENSG00000115677.12	HDLBP	55.6867
1152	ENSG00000134690.6	CDCA8	55.6741
2786	ENSG00000223380.3	SEC22B	55.6576
51198	ENSG00000087460.19	GNAS	55.6371
27518	ENSG00000119333.7	WDR34	55.5676
8221	ENSG00000065548.13	ZC3H15	55.5243
31923	ENSG00000172893.11	DHCR7	55.4459
2995	ENSG00000143401.10	ANP32E	55.442
4720	ENSG00000143799.8	PARP1	55.4204
37958	ENSG00000100528.7	CNIH1	55.3534
51405	ENSG00000155307.13	SAMSN1	55.3452
40978	ENSG00000140545.10	MFGE8	55.3003
16758	ENSG00000120727.8	PAIP2	55.2815
11977	ENSG00000136527.13	TRA2B	55.2119
13518	ENSG00000198189.6	HSD17B11	55.179
20297	ENSG00000112110.5	MRPL18	55.1175
23104	ENSG00000055118.10	KCNH2	55.0074
596	ENSG00000077549.13	CAPZB	54.9337
48550	ENSG00000169021.4	UQCRFS1	54.9096
43759	ENSG00000170296.5	GABARAP	54.884
1187	ENSG00000174574.11	AKIRIN1	54.8651
45299	ENSG00000159199.9	ATP5G1	54.8323
22265	ENSG00000105819.9	PMPCB	54.827
55622	ENSG00000124333.10	VAMP7	54.7428
1393	ENSG00000117448.9	AKR1A1	54.7062
22237	ENSG00000005075.11	POLR2J	54.7035
51994	ENSG00000184787.14	UBE2G2	54.6926
32515	ENSG00000137692.7	DCUN1D5	54.6614
14675	ENSG00000151725.7	MLF1IP	54.6571
1647	ENSG00000116133.7	DHCR24	54.5891
44959	ENSG00000171345.9	KRT19	54.5886
6319	ENSG00000198380.8	GFPT1	54.507
16884	ENSG00000131504.11	DIAPH1	54.4967
18100	ENSG00000203813.4	HIST1H3H	54.4622
4709	ENSG00000163041.5	H3F3A	54.4468
41815	ENSG00000133393.8	FOPNL	54.4329
7943	ENSG00000152253.4	SPC25	54.3736
22304	ENSG00000008282.3	SYPL1	54.3419
26602	ENSG00000165092.8	ALDH1A1	54.2811
27230	ENSG00000148229.8	POLE3	54.1829
29134	ENSG00000108179.9	PPIF	54.1211
50057	ENSG00000130725.3	UBE2M	54.1063
1542	ENSG00000117862.7	TXNDC12	54.0249
6834	ENSG00000144029.7	MRPS5	54.022
28910	ENSG00000122958.10	VPS26A	54.0117
21780	ENSG00000106211.8	HSPB1	54.007
47878	ENSG00000129351.13	ILF3	53.9118
18547	ENSG00000196821.5	C6orf106	53.8588
44867	ENSG00000094804.5	CDC6	53.7948
37437	ENSG00000155463.8	OXA1L	53.7906
7377	ENSG00000136732.10	GYPC	53.7646
18307	ENSG00000137331.11	IER3	53.6344
41573	ENSG00000103423.9	DNAJA3	53.6167
5647	ENSG00000119777.14	TMEM214	53.6018
53753	ENSG00000215301.5	DDX3X	53.5802
51201	ENSG00000101158.8	NELFCD	53.5795
34397	ENSG00000123405.9	NFE2	53.5678
44982	ENSG00000168259.10	DNAJC7	53.5569
40185	ENSG00000069974.11	RAB27A	53.5338
11142	ENSG00000114686.4	MRPL3	53.4655
41988	ENSG00000004779.5	NDUFAB1	53.4101
44495	ENSG00000108578.10	BLMH	53.3545
40990	ENSG00000140525.13	FANCI	53.3371
18729	ENSG00000048544.5	MRPS10	53.3315
49209	ENSG00000125753.9	VASP	53.3297
18617	ENSG00000137168.7	PPIL1	53.2544
6169	ENSG00000082898.12	XPO1	53.2293
47666	ENSG00000125656.4	CLPP	53.2274
45667	ENSG00000108588.9	CCDC47	53.2086
22787	ENSG00000146963.13	C7orf55-LUC7L2	53.0972
54100	ENSG00000072506.8	HSD17B10	53.0618
31797	ENSG00000173020.6	ADRBK1	53.019
22027	ENSG00000127922.5	SHFM1	52.9735
53930	ENSG00000126768.8	TIMM17B	52.9453
3689	ENSG00000143155.8	TIPRL	52.9002
23661	ENSG00000147416.6	ATP6V1B2	52.8984
1034	ENSG00000162521.14	RBBP4	52.8929
774	ENSG00000183726.6	TMEM50A	52.867
46336	ENSG00000262001.1	DLGAP1-AS2	52.8559
52338	ENSG00000100034.9	PPM1F	52.8234
55320	ENSG00000046774.9	MAGEC2	52.8014
48770	ENSG00000126247.6	CAPNS1	52.7825
13078	ENSG00000047315.10	POLR2B	52.7495
55565	ENSG00000071859.10	FAM50A	52.6261
50713	ENSG00000125995.11	ROMO1	52.5897
15219	ENSG00000113387.7	SUB1	52.5894
16609	ENSG00000170606.9	HSPA4	52.5682
27600	ENSG00000126883.12	NUP214	52.4022
13683	ENSG00000109332.15	UBE2D3	52.3203
8053	ENSG00000235655.2	H3F3AP4	52.3143
31747	ENSG00000174851.10	YIF1A	52.2645
11843	ENSG00000136521.8	NDUFB5	52.2595
22080	ENSG00000241685.4	ARPC1A	52.2518
14465	ENSG00000052802.8	MSMO1	52.2015
10883	ENSG00000065518.7	NDUFB4	52.1748
53858	ENSG00000102265.7	TIMP1	52.1312
6600	ENSG00000118640.6	VAMP8	52.1172
33657	ENSG00000023734.6	STRAP	51.932
41554	ENSG00000126602.6	TRAP1	51.9133
1314	ENSG00000159479.12	MED8	51.896
17956	ENSG00000112308.8	C6orf62	51.873
21686	ENSG00000009954.6	BAZ1B	51.87
41029	ENSG00000185043.6	CIB1	51.8678
24167	ENSG00000253729.3	PRKDC	51.8068
41237	ENSG00000131876.12	SNRPA1	51.7886
33399	ENSG00000059804.11	SLC2A3	51.7837
23740	ENSG00000147454.9	SLC25A37	51.7487
18798	ENSG00000180992.5	MRPL14	51.7375
12629	ENSG00000109805.5	NCAPG	51.7257
38923	ENSG00000078304.15	PPP2R5C	51.723
52846	ENSG00000100345.16	MYH9	51.6082
46188	ENSG00000169738.3	DCXR	51.5745
2466	ENSG00000134248.9	LAMTOR5	51.5473
13777	ENSG00000109534.12	GAR1	51.5178
34234	ENSG00000050426.11	LETMD1	51.5017
35603	ENSG00000088986.6	DYNLL1	51.4333
24752	ENSG00000253250.2	RP11-122A3.2	51.405
31040	ENSG00000175216.10	CKAP5	51.3951
22716	ENSG00000155561.10	NUP205	51.2946
50853	ENSG00000124193.10	SRSF6	51.2772
44808	ENSG00000002834.13	LASP1	51.2463
27200	ENSG00000119314.11	PTBP3	51.2097
51071	ENSG00000000419.8	DPM1	51.1853
23884	ENSG00000104687.8	GSR	51.1438
42276	ENSG00000140688.12	C16orf58	50.9094
18512	ENSG00000237649.3	KIFC1	50.8655
22951	ENSG00000159840.11	ZYX	50.8458
33335	ENSG00000089693.6	MLF2	50.834
34243	ENSG00000183283.11	DAZAP2	50.7877
47888	ENSG00000130733.6	YIPF2	50.6238
16708	ENSG00000177733.4	HNRNPA0	50.5437
4583	ENSG00000067704.8	IARS2	50.5298
592	ENSG00000053371.8	AKR7A2	50.5202
9553	ENSG00000077097.9	TOP2B	50.47
1126	ENSG00000196182.6	STK40	50.4332
38391	ENSG00000170348.4	TMED10	50.4319
27592	ENSG00000097007.13	ABL1	50.3952
1021	ENSG00000175130.6	MARCKSL1	50.386
1222	ENSG00000131238.12	PPT1	50.3788
30247	ENSG00000177105.9	RHOG	50.3607
21710	ENSG00000049541.6	RFC2	50.3499
49376	ENSG00000183207.8	RUVBL2	50.3494
2428	ENSG00000065135.7	GNAI3	50.3407
34556	ENSG00000139269.2	INHBE	50.2262
50714	ENSG00000131051.16	RBM39	50.2135
381	ENSG00000116688.12	MFN2	50.2074
8788	ENSG00000144591.13	GMPPA	50.1969
33755	ENSG00000060982.10	BCAT1	50.1172
18443	ENSG00000204304.7	PBX2	50.0806
48243	ENSG00000007080.6	CCDC124	49.9831
12316	ENSG00000163950.8	SLBP	49.8596
51996	ENSG00000184900.11	SUMO3	49.8048
47848	ENSG00000130816.10	DNMT1	49.7782
50677	ENSG00000100983.5	GSS	49.6896
41315	ENSG00000140983.9	RHOT2	49.6855
55568	ENSG00000102178.8	UBL4A	49.6575
49475	ENSG00000062822.8	POLD1	49.6463
